TimeIndex;Year;Quarter;TouristNumber;Total_Income;Ind_Expenditure;Food_Beverage;Accommodation;Health;Clothes;Carpet_Rug;GSM_Expenditure;Souvenirs
2002_1;2002;1;1408689;1122843;988454;215275;186955;26466;102900;31516;5749;73495
2002_2;2002;2;3636297;2825964;2097566;502707;437425;24866;228728;71975;18898;143433
2002_3;2002;3;5567798;6081765;4770428;1159612;913260;54413;535853;112994;43913;318241
2002_4;2002;4;2643244;2389947;2053245;432144;393376;42099;259610;86118;18016;159446
2003_1;2003;1;1344898;1261788;1141547;217431;194508;27863;145636;57668;7228;90645
2003_2;2003;2;2657260;2365089;1876256;375586;426124;31067;209282;48858;14245;187775
2003_3;2003;3;6280333;7367020;5664638;1429614;1033617;84969;668727;80813;60690;421138
2003_4;2003;4;3077779;2860972;2396120;529324;452100;59804;320602;94468;25069;177535
2004_1;2004;1;1925655;1829174;1645436;321236;299667;35787;196257;75533;12625;135838
2004_2;2004;2;3002705;3511573;2740714;582799;596910;52409;378562;127869;33151;267885
2004_3;2004;3;7208959;8204203;6044853;1639758;1133262;113758;866812;115375;69881;478889
2004_4;2004;4;3580459;3531659;2607122;614987;484381;81835;385652;86561;29182;234705
2005_1;2005;1;2504460;2195036;1938375;409608;339934;47723;252956;88027;21623;177080
2005_2;2005;2;6053565;4218077;3065732;640495;621144;63329;409507;116805;48652;305997
2005_3;2005;3;8544066;9811405;7012032;1871768;1180523;128237;1047086;117242;99369;579357
2005_4;2005;4;4022795;4097593;2978379;768300;548194;103891;398618;76235;39318;274019
2006_1;2006;1;2215794;2191985;1995846;501182;300485;63111;262849;71696;19181;196213
2006_2;2006;2;5660359;4099848;3113726;755814;500896;75793;452879;89148;46463;319831
2006_3;2006;3;8282690;8838918;6802668;1846926;1024591;139687;1013434;127230;84538;590842
2006_4;2006;4;3660990;3463199;3037791;795590;522124;103820;417722;75573;32260;282336
2007_1;2007;1;2601433;2425258;2251628;589506;351726;72036;314562;42843;24961;211736
2007_2;2007;2;6582675;4262510;3287150;803264;546337;89554;473083;105822;55686;327244
2007_3;2007;3;9807497;9844809;7625091;2357484;1066233;173353;1005655;115940;116000;612486
2007_4;2007;4;4349306;4409924;3722378;996493;634944;106734;495603;77566;49978;345372
2008_1;2008;1;2984565;3161506;2865223;759491;448898;96907;397185;54519;39314;249381
2008_2;2008;2;7702299;5519758;4065517;1019862;699502;100493;543901;110442;98754;362415
2008_3;2008;3;10827944;11506483;8800435;2704140;1103423;168357;1233624;144592;155703;777675
2008_4;2008;4;4821869;5227321;4377665;1291498;598887;120585;569695;91846;54672;392529
2009_1;2009;1;2858473;2850711;2543868;735213;330865;76790;327960;53855;35771;225937
2009_2;2009;2;7732158;5076277;3674375;957476;560798;97984;478359;74843;69513;380646
2009_3;2009;3;11239407;11103383;8565072;2768546;1064294;134971;1106746;127981;112541;634666
2009_4;2009;4;5247076;6034110;4689118;1514425;578231;137550;628369;118910;48529;341657
2010_1;2010;1;3178438;2865050;2472869;696208;353422;69570;315317;55693;34669;213367
2010_2;2010;2;8392989;5498768;4044129;1090566;577792;126766;512201;103222;57155;358554
2010_3;2010;3;11563774;10173986;7549234;2318406;945753;126741;913304;106743;78536;567937
2010_4;2010;4;5497003;6393192;5141238;1736071;653738;110321;587044;77232;49972;361254
2011_1;2011;1;3673010;3736769;3309612;930276;480712;91820;427169;44160;33231;285258
2011_2;2011;2;9354484;6599971;4919199;1250449;771190;108624;651525;130131;60042;418496
2011_3;2011;3;12597804;11314074;8347602;2621946;1163110;155785;1009796;96554;79899;585185
2011_4;2011;4;5830778;6464879;5227201;1673906;667338;132215;649482;97970;36966;356779
2012_1;2012;1;3439745;3524422;3049987;837685;407298;100917;417317;44561;29475;230583
2012_2;2012;2;9284233;7066015;5214471;1291071;773037;157297;682825;94211;59467;454755
2012_3;2012;3;13033006;11055086;8078077;2272556;1086107;170237;1083641;94630;71357;548462
2012_4;2012;4;6025848;7361478;5877666;1737470;787205;199411;807915;126049;35781;439712
2013_1;2013;1;4214348;4648816;4161350;1077940;558292;168431;591784;60343;26851;315768
2013_2;2013;2;10335173;8315789;6124950;1467600;1012954;199050;843227;110499;39292;505771
2013_3;2013;3;13805643;11579006;8366519;2319930;1095893;179736;1153196;84981;63607;605015
2013_4;2013;4;6554934;7765380;6182538;1718170;876981;225683;839932;112267;33877;460892
2014_1;2014;1;4350979;4807836;4261833;1082172;630335;217761;619745;43250;29039;328664
2014_2;2014;2;10887242;8975976;6621864;1523964;1156849;242500;927429;96671;41385;508407
2014_3;2014;3;14850281;12854373;8905882;2336216;1378703;180752;1196602;73531;66615;630357
2014_4;2014;4;6749398;7667719;6213372;1581500;1036243;196783;888656;76250;36546;432958
2015_1;2015;1;4530224;4868890;4457546;1011637;725467;166654;619757;30893;20778;333789
2015_2;2015;2;10364530;7733677;5953833;1358375;1045556;159230;773321;62790;25244;404739
2015_3;2015;3;14863339;12294189;8967301;2396444;1481460;126101;1058079;70870;48971;457870
